test_index,target,prediction_mean,prediction_std,prediction_ci_low,prediction_ci_high,replica_predictions,best_candidate,top_candidates,replica_times,final_costs_replicas,avg_cost_history,input_0,input_1,input_2,input_3
0,342.45,272.76357116699216,14.237966844388312,255.0848003286963,290.442342005288,"[255.3275604248047, 266.08966064453125, 287.4905090332031, 267.41961669921875, 287.4905090332031]",[10.80543939 15.28755658 21.06972907  0.4       ],"[array([10.11270632, 19.36337976, 20.77370991,  0.4       ]), array([10.1804056 , 19.28032218, 20.90026628,  0.4       ]), array([10.1804056 , 19.28032218, 20.90026628,  0.4       ]), array([10.19471885, 19.18479069, 20.99606225,  0.4       ]), array([10.19471885, 19.18479069, 20.99606225,  0.4       ])]","[0.021759986877441406, 0.009011983871459961, 0.008898019790649414, 0.009530782699584961, 0.01426386833190918]","[7590.319477533556, 5830.901426482348, 3020.545647329426, 5629.558418262152, 3020.545647329426]","[9291.005221473237, 8614.943066227368, 8614.943066227368, 7978.690978278506, 7978.690978278506, 7978.690978278506, 7799.170945813346, 6190.600346222648, 6190.600346222648, 6190.600346222648, 6190.600346222648, 6190.600346222648, 6190.600346222648, 6190.600346222648, 6190.600346222648, 5932.328889428207, 5141.758462630258, 5141.758462630258, 5141.758462630258, 5018.374123387382, 5018.374123387382, 5018.374123387382, 5517.83124240187, 5517.83124240187, 5517.83124240187, 5517.83124240187, 5517.83124240187, 5517.83124240187, 3020.545647329426, 3020.545647329426, 3020.545647329426, 3020.545647329426, 3020.545647329426, 3020.545647329426, 3020.545647329426, 3020.545647329426, 3020.545647329426, 3020.545647329426, 3020.545647329426, 3020.545647329426]",12.0,20.0,25.0,0.4
1,337.88,272.3160919189453,13.164885338290484,255.96972775390938,288.66245608398117,"[253.1558074951172, 276.0677795410156, 276.0677795410156, 267.41961669921875, 288.8694763183594]",[10.09455122 15.21507546 22.54444443  0.4       ],"[array([10.09455122, 15.21507546, 22.54444443,  0.4       ]), array([10.09455122, 15.21507546, 22.54444443,  0.4       ]), array([10.29557974, 15.16459945, 22.61256443,  0.4       ]), array([10.29557974, 15.16459945, 22.61256443,  0.4       ]), array([10.29557974, 15.16459945, 22.61256443,  0.4       ])]","[0.011187076568603516, 0.009320974349975586, 0.00921010971069336, 0.0075762271881103516, 0.008016109466552734]","[7178.18879560444, 3820.750598070086, 3820.750598070086, 4964.665614893012, 2402.031431548656]","[6363.019213389906, 5244.9848217139715, 5206.884522665369, 4915.257853530335, 4774.242966302204, 4774.242966302204, 4774.242966302204, 4774.242966302204, 4437.277407637257, 4437.277407637257, 4437.277407637257, 4437.277407637257, 4437.277407637257, 4437.277407637257, 4437.277407637257, 4437.277407637257, 4437.277407637257, 4437.277407637257, 4437.277407637257, 4437.277407637257, 4437.277407637257, 4437.277407637257, 4790.110113576548, 4790.110113576548, 4790.110113576548, 7178.18879560444, 7178.18879560444, 7178.18879560444, 7178.18879560444]",12.0,20.0,20.0,0.4
2,278.4,269.3247436523437,10.190851601519842,256.67113010769935,281.9783571969881,"[276.0677795410156, 277.3365783691406, 264.182861328125, 275.3143615722656, 253.72213745117188]",[11.85337421 20.         22.49481467  0.20771839],"[array([ 9.09398855, 16.2776408 , 17.01616033,  0.4       ]), array([ 9.09398855, 16.2776408 , 17.01616033,  0.4       ]), array([ 9.09398855, 16.2776408 , 17.01616033,  0.4       ]), array([ 9.09398855, 16.2776408 , 17.01616033,  0.4       ]), array([ 9.09398855, 16.2776408 , 17.01616033,  0.4       ])]","[0.00922703742980957, 0.009478092193603516, 0.010438919067382812, 0.008275985717773438, 0.009301900863647461]","[5.439252269305182, 1.1308655649795645, 202.12703201532298, 9.521164506710926, 608.9968999788526]","[1626.7114398001024, 1216.5937508034137, 963.5687757392312, 693.0051587518388, 692.424915386782, 573.375494512775, 573.375494512775, 573.375494512775, 573.375494512775, 572.6826290186207, 572.6826290186207, 479.54107141454625, 451.9710994767112, 451.9710994767112, 281.28580791612103, 281.28580791612103, 281.28580791612103, 165.44304286703428, 165.44304286703428, 165.44304286703428, 165.44304286703428, 165.44304286703428, 165.44304286703428, 165.44304286703428, 165.44304286703428, 165.44304286703428, 204.4235124571151, 204.4235124571151, 204.4235124571151, 204.4235124571151, 272.18772808782694, 272.18772808782694, 272.18772808782694, 405.5619659970878, 405.5619659970878, 202.12703201532298, 202.12703201532298, 202.12703201532298]",12.0,20.0,15.0,0.3
3,260.71,259.5944396972656,3.744562609418069,254.94495111613125,264.2439282784,"[260.02239990234375, 260.02239990234375, 253.72213745117188, 260.02239990234375, 264.182861328125]",[10.50637004 19.26382607 15.19116094  0.29536869],"[array([ 9.13308361, 11.9824219 , 16.31634817,  0.4       ]), array([ 9.12590027, 11.40333615, 16.73781016,  0.4       ]), array([ 9.12590027, 11.40333615, 16.73781016,  0.4       ]), array([ 8.79604343, 11.6726364 , 15.81904206,  0.4       ]), array([ 8.79604343, 11.6726364 , 15.81904206,  0.4       ])]","[0.008515119552612305, 0.009259939193725586, 0.009155035018920898, 0.012519121170043945, 0.011097908020019531]","[0.4727938942968564, 0.4727938942968564, 48.830223001314415, 0.4727938942968564, 12.06076580438628]","[196.63492531621463, 98.27687313159387, 98.27687313159387, 93.54908714332262, 93.54908714332262, 93.54908714332262, 93.54908714332262, 93.54908714332262, 93.54908714332262, 22.335520234724775, 14.182424529901132, 14.182424529901132, 14.182424529901132, 14.182424529901132, 14.182424529901132, 14.182424529901132, 14.182424529901132, 14.182424529901132, 12.461874097718253, 12.461874097718253, 12.461874097718253, 15.459144148573602, 20.454594233332518, 20.454594233332518, 20.454594233332518, 20.454594233332518, 20.454594233332518, 20.454594233332518, 20.454594233332518, 20.454594233332518, 6.266779849341568, 0.4727938942968564, 0.4727938942968564, 0.4727938942968564, 0.4727938942968564, 0.4727938942968564, 0.4727938942968564, 0.4727938942968564, 0.4727938942968564]",10.0,12.5,22.5,0.25
4,228.21,230.07008361816406,5.046799426384428,223.8036544642671,236.336512772061,"[236.8029022216797, 232.68072509765625, 223.47364807128906, 227.5901336669922, 229.80300903320312]",[ 8.29922045 12.85446633 15.          0.28735208],"[array([ 8.50382079, 19.79151555, 21.73838898,  0.36937744]), array([ 8.50382079, 19.79151555, 21.73838898,  0.36937744]), array([ 8.01494598, 19.90912235, 21.96336653,  0.39548441]), array([ 8.        , 19.8447811 , 21.97854201,  0.3409455 ]), array([ 8.43607355, 19.21507519, 22.33027299,  0.2676047 ])]","[0.010257959365844727, 0.013786792755126953, 0.015614032745361328, 0.011031150817871094, 0.009831905364990234]","[73.83796859134758, 19.987382898813415, 22.433029592603894, 0.3842342707965622, 2.53767777986673]","[178.37582690111384, 175.66629072878342, 166.18020846150463, 56.41256191072463, 40.61088051421043, 39.95521572724577, 34.74958749109164, 34.74958749109164, 34.74958749109164, 34.74958749109164, 34.74958749109164, 34.74958749109164, 34.74958749109164, 34.74958749109164, 34.74958749109164, 34.60617576519247, 34.60617576519247, 34.60617576519247, 23.836058626685634, 23.836058626685634, 23.836058626685634, 29.160653838390363, 29.160653838390363, 29.160653838390363, 14.268215587404624, 14.268215587404624, 21.210206245708655, 21.210206245708655, 21.210206245708655, 21.210206245708655, 21.210206245708655, 21.210206245708655, 21.210206245708655, 21.210206245708655, 21.210206245708655, 21.210206245708655, 19.987382898813415, 19.987382898813415, 19.987382898813415]",10.0,10.0,25.0,0.2
5,334.54,263.7495971679688,15.570882971696609,244.415792361769,283.0834019741685,"[257.7734375, 257.7734375, 276.0677795410156, 244.24600219726562, 282.8873291015625]",[10.23559793 10.90218288 19.96425689  0.4       ],"[array([10.23559793, 10.90218288, 19.96425689,  0.4       ]), array([10.23559793, 10.90218288, 19.96425689,  0.4       ]), array([10.23559793, 10.90218288, 19.96425689,  0.4       ]), array([10.23559793, 10.90218288, 19.96425689,  0.4       ]), array([10.23559793, 10.90218288, 19.96425689,  0.4       ])]","[0.009751081466674805, 0.010876178741455078, 0.009234905242919922, 0.008772850036621094, 0.009008169174194336]","[5893.105118066409, 5893.105118066409, 3419.0005654040733, 8153.006039200204, 2667.9984109422944]","[8258.594346960073, 6174.359240500627, 6174.359240500627, 5567.355742184844, 5205.243050335878, 5205.243050335878, 5205.243050335878, 5205.243050335878, 5205.243050335878, 5205.243050335878, 5205.243050335878, 5205.243050335878, 5205.243050335878, 5205.243050335878, 5205.243050335878, 5205.243050335878, 5205.243050335878, 5205.243050335878, 5205.243050335878, 5205.243050335878, 5205.243050335878, 5205.243050335878, 4818.069549025037, 4818.069549025037, 5893.105118066409]",12.0,20.0,25.0,0.3
6,272.24,266.32445373535154,11.369640062358217,252.2071809973861,280.441726473317,"[246.0172576904297, 271.70709228515625, 271.87738037109375, 270.3134460449219, 271.70709228515625]",[10.63372935 12.38471784 16.90149807  0.2       ],"[array([10.94621337, 12.49918184, 20.38446121,  0.2       ]), array([11.4845775 , 11.90146821, 20.86726987,  0.2       ]), array([11.43572131, 11.98832742, 20.7300025 ,  0.2       ]), array([11.72614485, 11.99115727, 20.61072022,  0.2       ]), array([11.63638409, 12.22422276, 20.55989953,  0.2       ])]","[0.008991003036499023, 0.010556221008300781, 0.011757135391235352, 0.009741783142089844, 0.008902788162231445]","[687.6322142341295, 0.28399063253999723, 0.13149299526811306, 3.711610141827201, 0.28399063253999723]","[660.1397566153117, 486.8462317027755, 336.18667505460485, 327.99063981460284, 327.99063981460284, 327.99063981460284, 240.09719296075463, 197.8485579739889, 197.8485579739889, 155.51487940721265, 153.36470196456514, 153.36470196456514, 153.36470196456514, 153.36470196456514, 153.36470196456514, 152.8305113845622, 152.8305113845622, 151.36585784377212, 151.36585784377212, 151.36585784377212, 151.36585784377212, 151.36585784377212, 151.36585784377212, 17.299268746182747, 1.1193560390569386, 1.1027711005438272, 1.1027711005438272, 1.1027711005438272, 1.1027711005438272, 1.1027711005438272, 1.3756979232117705, 1.921551568547657, 1.921551568547657, 1.921551568547657, 1.921551568547657, 1.921551568547657, 1.921551568547657, 1.921551568547657, 0.13149299526811306, 0.13149299526811306, 0.13149299526811306, 0.13149299526811306, 0.13149299526811306, 0.13149299526811306, 0.13149299526811306, 0.13149299526811306]",12.0,15.0,25.0,0.2
7,249.42,255.2917236328125,5.047432146368802,249.02450885329,261.558938412335,"[258.8695373535156, 251.6426544189453, 248.2073516845703, 258.8695373535156, 258.8695373535156]",[ 9.61010542 19.20040053 21.50255071  0.2180838 ],"[array([11.88112719, 14.28665098, 18.37073991,  0.26416924]), array([11.88112719, 14.28665098, 18.37073991,  0.26416924]), array([11.93587304, 14.28950505, 18.34082032,  0.2446038 ]), array([11.99766335, 14.19651517, 18.28180609,  0.2       ]), array([11.88284322, 14.30379795, 18.48858231,  0.2       ])]","[0.008008956909179688, 0.007320880889892578, 0.008516788482666016, 0.04760384559631348, 0.010574817657470703]","[89.29375619548732, 4.940192666057181, 1.4705159369144285, 89.29375619548732, 89.29375619548732]","[152.5198611793181, 145.91101233234053, 145.91101233234053, 145.91101233234053, 144.0405393158103, 114.31315802316911, 114.31315802316911, 114.31315802316911, 101.2406494389603, 84.58577673052791, 54.85839543788671, 54.85839543788671, 54.85839543788671, 54.85839543788671, 54.85839543788671, 54.85839543788671, 54.85839543788671, 54.85839543788671, 54.85839543788671, 54.85839543788671, 54.85839543788671, 68.20536531312979, 68.20536531312979, 68.20536531312979, 68.20536531312979, 89.29375619548732, 89.29375619548732, 89.29375619548732, 89.29375619548732, 89.29375619548732, 89.29375619548732]",10.0,15.0,25.0,0.2
8,232.62,234.9443328857422,13.674822324161214,217.96479832399805,251.92386744748634,"[227.5901336669922, 232.9936065673828, 229.9603271484375, 258.8695373535156, 225.3080596923828]",[ 9.45264099 14.42842226 22.61894648  0.29533021],"[array([ 8.96150129, 18.40252621, 19.62386443,  0.354648  ]), array([ 8.92993379, 18.46418462, 19.50378729,  0.38257874]), array([ 8.97588175, 18.7853128 , 19.6189894 ,  0.38220546]), array([ 8.97588175, 18.7853128 , 19.6189894 ,  0.38220546]), array([ 8.76784201, 18.92507594, 19.90875342,  0.31918908])]","[0.018828153610229492, 0.011324882507324219, 0.014713048934936523, 0.008407115936279297, 0.012408971786499023]","[25.299555327925503, 0.13958186719156462, 7.073859677338624, 689.0382112736119, 53.464471062156996]","[767.8790204119714, 767.8790204119714, 732.7343455076846, 689.4387434397595, 689.4387434397595, 689.4387434397595, 689.4387434397595, 689.4387434397595, 496.25163895107573, 496.25163895107573, 496.25163895107573, 496.25163895107573, 496.25163895107573, 496.09065849515554, 452.7950564272305, 450.9914676078758, 449.6770877068373, 449.6770877068373, 174.31344560722218, 174.31344560722218, 173.52141890416436, 173.52141890416436, 173.52141890416436, 173.52141890416436, 173.52141890416436, 173.52141890416436, 173.52141890416436, 173.52141890416436, 169.54475773570647, 39.67139435123011, 39.67139435123011, 39.67139435123011, 37.41690832703668, 37.41690832703668, 37.41690832703668, 37.41690832703668, 32.06772074866324, 32.06772074866324, 32.06772074866324, 32.06772074866324, 32.06772074866324, 48.031790189399075, 48.031790189399075, 30.699954584586106, 16.61749671747036, 16.61749671747036, 16.61749671747036, 16.61749671747036, 16.61749671747036, 16.186707502632064, 16.186707502632064, 16.186707502632064, 16.186707502632064, 16.186707502632064, 16.186707502632064, 16.186707502632064, 16.186707502632064, 16.186707502632064, 16.186707502632064, 16.186707502632064, 16.186707502632064, 16.186707502632064, 16.186707502632064, 16.186707502632064, 16.186707502632064, 7.073859677338624, 7.073859677338624, 7.073859677338624, 7.073859677338624, 7.073859677338624]",8.0,10.0,15.0,0.2
9,238.63,250.02749633789062,13.727505099297195,232.98254747093466,267.0724452048466,"[238.6590118408203, 241.3185577392578, 267.2780456542969, 240.32534790039062, 262.5565185546875]",[10.42639533 12.40897471 25.          0.30128415],"[array([11.21561522, 14.61966868, 19.86611574,  0.24487094]), array([11.21561522, 14.61966868, 19.86611574,  0.24487094]), array([11.40123334, 14.26557245, 19.75049305,  0.2       ]), array([11.51121771, 14.12957282, 19.6956914 ,  0.2       ]), array([11.51121771, 14.12957282, 19.6956914 ,  0.2       ])]","[0.008015871047973633, 0.008517742156982422, 0.0075647830963134766, 0.009101152420043945, 0.008519887924194336]","[0.0008416869077834145, 7.2283427173231045, 820.7105198106783, 2.874204503358916, 572.4782901478054]","[778.6934671039523, 761.3993752834143, 457.4748851326758, 395.88152435970096, 368.5255857198422, 349.6368405794107, 349.6368405794107, 280.6584397732147, 280.6584397732147, 280.6584397732147, 280.6584397732147, 280.6584397732147, 280.6584397732147, 280.6584397732147, 280.6584397732147, 280.6584397732147, 280.6584397732147, 280.6584397732147, 280.6584397732147, 280.6584397732147, 280.6584397732147, 145.6454197638488, 145.6454197638488, 194.19361245616247, 194.19361245616247, 289.85331643256427, 572.4782901478054, 572.4782901478054]",8.0,15.0,15.0,0.3
