test_index,target,prediction_mean,prediction_std,prediction_ci_low,prediction_ci_high,replica_predictions,best_candidate,top_candidates,replica_times,final_costs_replicas,avg_cost_history,input_0,input_1,input_2,input_3
10,297.65,284.4793701171875,0.0,284.4793701171875,284.4793701171875,"[284.4793701171875, 284.4793701171875, 284.4793701171875, 284.4793701171875, 284.4793701171875]",[10.85650373 18.79781765 22.71883361  0.38533554],"[array([11.7204596 , 18.79257539, 23.28610388,  0.31766178]), array([10.67220421, 16.48254782, 23.0691177 ,  0.3102204 ]), array([11.11190403, 15.77961806, 23.68528471,  0.33755752]), array([11.7204596 , 18.79257539, 23.28610388,  0.31766178]), array([11.5626603 , 16.13872976, 24.47275535,  0.3247834 ])]","[0.022903919219970703, 0.021561145782470703, 0.024072885513305664, 0.023490190505981445, 0.024306058883666992]","[173.46549151003302, 173.46549151003302, 173.46549151003302, 173.46549151003302, 173.46549151003302]","[173.46549151003302, 173.46549151003302]",12.0,15.0,15.0,0.3
11,256.11,256.4662658691406,1.3434696018623309,254.79812803182702,258.13440370645424,"[255.86544799804688, 255.86544799804688, 255.86544799804688, 255.86544799804688, 258.8695373535156]",[10.94786222 11.54214748 22.59713619  0.20526696],"[array([10.90163975, 14.50047437, 17.57349789,  0.25113758]), array([10.18652194, 13.30166035, 16.87199041,  0.2699465 ]), array([10.11412217, 13.58310344, 19.07831505,  0.29276251]), array([11.01278325, 12.72376826, 16.99356775,  0.27500005]), array([10.22212188, 14.93294225, 17.22011051,  0.2798406 ])]","[0.022496938705444336, 0.023752927780151367, 0.02248215675354004, 0.024773836135864258, 0.023571014404296875]","[0.05980568165928793, 0.05980568165928793, 0.05980568165928793, 0.05980568165928793, 7.615046405447944]","[3.2485144152402654, 1.5708538264170193]",10.0,10.0,20.0,0.2
12,196.63,214.90440979003907,1.8108040717226308,212.65599956638027,217.15282001369786,"[216.88804626464844, 216.88804626464844, 213.5819854736328, 213.5819854736328, 213.5819854736328]",[ 8.87777198 14.72689529 23.91750429  0.24280739],"[array([ 8.80157234, 14.99326839, 23.75557531,  0.24899579]), array([ 8.80157234, 14.99326839, 23.75557531,  0.24899579]), array([ 8.80157234, 14.99326839, 23.75557531,  0.24899579]), array([ 8.98651726, 15.34973844, 23.01608561,  0.24452677]), array([ 8.0470344 , 18.05891404, 24.57446249,  0.24985738])]","[0.02405524253845215, 0.06196308135986328, 0.03612112998962402, 0.025754928588867188, 0.06856083869934082]","[410.3884384606367, 410.3884384606367, 287.36981149825806, 287.36981149825806, 287.36981149825806]","[447.2552384154236, 364.06883545698577, 348.8791249794474, 287.36981149825806, 287.36981149825806, 287.36981149825806]",8.0,20.0,15.0,0.2
13,232.08,231.7802947998047,1.6613955609725106,229.71739974496958,233.8431898546398,"[229.9603271484375, 232.9936065673828, 229.9603271484375, 232.9936065673828, 232.9936065673828]",[ 9.45938997 13.4354645  24.93664342  0.2672427 ],"[array([ 9.65738016, 12.63716403, 23.49736553,  0.25742517]), array([ 9.44765424, 14.43212739, 23.41253708,  0.27496088]), array([ 9.65738016, 12.63716403, 23.49736553,  0.25742517]), array([ 9.9373549 , 13.62342029, 24.24326558,  0.25393676]), array([ 9.39564879, 12.634837  , 23.02602658,  0.27902858])]","[0.023265838623046875, 0.024053096771240234, 0.024821043014526367, 0.022284984588623047, 0.022804975509643555]","[4.493012997651153, 0.8346769599649827, 4.493012997651153, 0.8346769599649827, 0.8346769599649827]","[2.298011375039451, 2.298011375039451]",8.0,10.0,20.0,0.3
14,264.86,264.8450012207031,0.0,264.8450012207031,264.8450012207031,"[264.8450012207031, 264.8450012207031, 264.8450012207031, 264.8450012207031, 264.8450012207031]",[11.21781569 14.98643751 17.98042696  0.37679486],"[array([11.04411529, 14.17455446, 15.66372511,  0.33870003]), array([10.01576744, 13.45350504, 18.09041337,  0.34961483]), array([11.27408993, 12.95377595, 19.14927375,  0.32920297]), array([10.20945297, 14.47742681, 15.48909756,  0.31006918]), array([10.48934336, 14.35714573, 15.86285018,  0.31466771])]","[0.025157928466796875, 0.02562403678894043, 0.026277780532836914, 0.026320219039916992, 0.027730226516723633]","[0.00022496338039677537, 0.00022496338039677537, 0.00022496338039677537, 0.00022496338039677537, 0.00022496338039677537]","[0.00022496338039677534, 0.00022496338039677534]",10.0,10.0,20.0,0.3
15,231.34,231.01702270507812,1.520102915634979,229.1295656411696,232.90447976898665,"[229.9603271484375, 229.9603271484375, 232.68072509765625, 232.68072509765625, 229.80300903320312]",[ 8.41310252 11.59969217 21.57419551  0.20442869],"[array([ 8.92986135, 15.24348627, 22.38092773,  0.35878339]), array([ 8.92986135, 15.24348627, 22.38092773,  0.35878339]), array([ 8.80726176, 16.01944593, 20.01780127,  0.33627417]), array([ 9.58160833, 14.30193672, 22.92357447,  0.28761328]), array([ 8.82826819, 13.29118393, 20.14511769,  0.33669079])]","[0.023890972137451172, 0.05182313919067383, 0.06330204010009766, 0.027196168899536133, 0.024085044860839844]","[1.9034971773386096, 1.9034971773386096, 1.797543787485352, 1.797543787485352, 2.362341232015203]","[2.044653443267944, 1.9528846323326252]",8.0,20.0,25.0,0.4
16,219.76,220.32506408691407,0.8703231223710589,219.24441519906162,221.40571297476652,"[219.85464477539062, 221.85838317871094, 220.2030029296875, 219.85464477539062, 219.85464477539062]",[ 8.014519   13.96217135 23.04641437  0.38879199],"[array([ 8.53722531, 14.76991543, 24.64558971,  0.35096812]), array([ 8.38799957, 14.96306999, 23.1434626 ,  0.30585333]), array([ 8.78956851, 14.10463983, 24.53157291,  0.35727464]), array([ 8.53722531, 14.76991543, 24.64558971,  0.35096812]), array([ 8.62806019, 14.69410244, 23.59790631,  0.36515797])]","[0.02579975128173828, 0.022530078887939453, 0.025417804718017578, 0.024200916290283203, 0.0241851806640625]","[0.008957633508743576, 4.403211964697056, 0.19625159571171613, 0.008957633508743576, 0.008957633508743576]","[0.9252672921870009, 0.9252672921870009]",8.0,15.0,20.0,0.2
17,224.38,223.91239318847656,0.6007764941971032,223.16643064466493,224.6583557322882,"[224.5705108642578, 223.47364807128906, 223.47364807128906, 224.5705108642578, 223.47364807128906]",[ 8.00593316 12.881479   15.90130817  0.24388266],"[array([ 8.92029807, 18.36555626, 24.20043549,  0.34105144]), array([ 8.77434439, 15.49548548, 23.54457509,  0.31607381]), array([ 8.00051581, 15.21319155, 23.17753588,  0.32393965]), array([ 8.76315992, 15.06062418, 22.69164764,  0.38057582]), array([ 8.92029807, 18.36555626, 24.20043549,  0.34105144])]","[0.024729013442993164, 0.02436208724975586, 0.026072978973388672, 0.02377176284790039, 0.02710866928100586]","[0.03629438940026039, 0.821473818678028, 0.821473818678028, 0.03629438940026039, 0.821473818678028]","[0.507402046966921, 0.507402046966921]",8.0,20.0,20.0,0.3
18,306.28,284.4793701171875,0.0,284.4793701171875,284.4793701171875,"[284.4793701171875, 284.4793701171875, 284.4793701171875, 284.4793701171875, 284.4793701171875]",[10.3729805  18.86533016 24.81961515  0.39607522],"[array([11.0489283 , 18.34943511, 23.3216914 ,  0.35694228]), array([10.68671806, 16.92374486, 23.08428993,  0.35345305]), array([11.25438323, 16.32728083, 23.211793  ,  0.3782217 ]), array([10.49546582, 16.20259855, 23.49492666,  0.30144404]), array([10.75337705, 15.95082268, 23.18926903,  0.36857347])]","[0.028666973114013672, 0.025709867477416992, 0.025238752365112305, 0.024450063705444336, 0.05784916877746582]","[475.2674632873762, 475.2674632873762, 475.2674632873762, 475.2674632873762, 475.2674632873762]","[475.2674632873762, 475.2674632873762]",10.0,20.0,25.0,0.4
19,247.57,248.4097137451172,0.27709566336187413,248.06565403586237,248.753773454372,"[248.7132568359375, 248.7132568359375, 248.2073516845703, 248.2073516845703, 248.2073516845703]",[ 9.18308311 18.74733624 21.4028298   0.22083693],"[array([ 9.13223293, 19.02170433, 21.61518516,  0.21552914]), array([ 9.07841176, 18.56286782, 20.88657028,  0.22185958]), array([ 9.22630398, 19.00157389, 21.65182216,  0.24513721]), array([ 9.14057658, 15.4438595 , 21.93969191,  0.22906207]), array([ 9.5123715 , 15.47734821, 21.48064425,  0.23887687])]","[0.02543497085571289, 0.03534412384033203, 0.027711868286132812, 0.027385950088500977, 0.024801015853881836]","[1.3070361929178393, 1.3070361929178393, 0.4062171698246238, 0.4062171698246238, 0.4062171698246238]","[1.4434823730062716, 0.7665447790619101, 1.3070361929178393]",9.0,12.5,15.0,0.3
